開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
6/12/17 13:21:22,YES,YES,NO,YES,
6/12/17 13:27:37,YES,YES,NO,YES,
6/12/17 13:28:03,YES,NO,YES,NO,
6/12/17 13:28:23,YES,YES,YES,YES,
6/12/17 13:28:34,YES,YES,YES,YES,
6/12/17 13:29:08,YES,YES,YES,YES,
6/12/17 13:28:30,YES,YES,NO,YES,
6/12/17 13:29:38,YES,YES,NO,YES,
6/12/17 13:27:52,YES,YES,NO,YES,（非公開）
6/12/17 13:29:13,YES,YES,NO,YES,"授業中でしっかりりかいできた。





"
6/12/17 13:30:21,YES,YES,YES,YES,
6/12/17 13:29:07,NO,NO,YES,YES,
6/12/17 13:31:00,YES,YES,YES,YES,
6/12/17 13:28:57,YES,NO,NO,NO,特に無いです
6/12/17 13:31:38,YES,YES,YES,YES,
6/12/17 13:32:35,YES,YES,YES,YES,
6/12/17 13:29:26,YES,YES,YES,NO,
6/12/17 13:27:35,YES,YES,YES,YES,（非公開）
6/12/17 13:33:18,YES,YES,YES,YES,
6/12/17 13:32:16,YES,YES,YES,YES,
6/12/17 13:27:37,YES,YES,YES,YES,
6/12/17 13:28:57,YES,YES,NO,YES,おもしろい
6/12/17 13:36:19,YES,YES,YES,YES,
6/12/17 13:35:52,YES,YES,YES,YES,
6/12/17 13:36:48,YES,YES,YES,YES,
6/12/17 13:37:06,YES,YES,YES,YES,
6/12/17 13:37:07,YES,YES,YES,YES,
6/12/17 13:35:11,YES,YES,YES,YES,アナログサインのグラフを読み取ることができた
6/12/17 13:34:33,YES,YES,YES,NO,位相の進みと遅れについて理解出来た。
,,,,,
YES,28,26,21,25,
NO,1,3,8,4,
